video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
W3ypPfbTyZs,UC16niRr50-MSBwiO3YDb3RA,"More than 60,000 “excess deaths” so far during UK coronavirus pandemic - BBC News",BBC News,News & Politics,none,285564,1454,0,1190,2020-06-02T21:48:35Z,"bbc,bbc news,news,coronavirus,virus,excess,deaths,pandemic,England,Wales,ONS,statistics,elderly,care,homes,Durham,disease,PHE,Public Health England,Covid-19,black,asian,BAME,minority ethnic,danger,risk,threat,die,Huw Edwards,Michael Buchanan,Rianna Croxford",PT7M,hd,false,https://i.ytimg.com/vi/W3ypPfbTyZs/default.jpg,https://www.youtube.com/watch?v=W3ypPfbTyZs
LP9a6cvfVeU,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: Tiger at Bronx Zoo tests positive for Covid-19 - BBC News,BBC News,Pets & Animals,none,335100,2294,0,1412,2020-04-06T14:08:51Z,"bbc,bbc news,news",PT3M10S,hd,false,https://i.ytimg.com/vi/LP9a6cvfVeU/default.jpg,https://www.youtube.com/watch?v=LP9a6cvfVeU
gXvSUiR2u2I,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: Can track and trace deliver? And can we trust it? - BBC News,BBC News,News & Politics,none,56993,409,0,210,2020-06-18T20:41:10Z,"bbc,bbc news,news,coronavirus,covid-19,health,pandemic,track and trace,lockdown,world news,Outside Source,Ros Atkins,technology,app",PT4M34S,hd,false,https://i.ytimg.com/vi/gXvSUiR2u2I/default.jpg,https://www.youtube.com/watch?v=gXvSUiR2u2I
6CajGH3Q5RU,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: 'Pregnancy during a pandemic is terrifying' - BBC News,BBC News,News & Politics,none,34156,517,0,0,2020-04-07T10:15:44Z,"bbc,bbc news,news,coronavirus,covid-19,United states,pregnancy,birth,health,pandemic",PT3M55S,hd,false,https://i.ytimg.com/vi/6CajGH3Q5RU/default.jpg,https://www.youtube.com/watch?v=6CajGH3Q5RU
bvQW8YkBVhQ,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: contain and delay phases Explained - BBC News,BBC News,News & Politics,none,522399,3358,0,972,2020-03-13T10:07:45Z,"bbc,bbc news,news,China coronavirus,coronavirus,coronavirus news,coronavirus symptoms,coronavirus latest,coronavirus cases,coronavirus deaths,corona virus,corona virus news,corona virus latest,china news,chinese news,world TV,BBC World,world news,covid 19,covid-19,Coronavirus Explained,corona virus US,corona Virus trump,donald trump,president trump,corona",PT8M16S,hd,false,https://i.ytimg.com/vi/bvQW8YkBVhQ/default.jpg,https://www.youtube.com/watch?v=bvQW8YkBVhQ
RHFV0XcJxww,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: What has Covid done for climate crisis? - BBC News,BBC News,News & Politics,none,77823,1411,0,521,2021-01-05T10:07:47Z,"bbc,bbc news,news",PT2M45S,hd,false,https://i.ytimg.com/vi/RHFV0XcJxww/default.jpg,https://www.youtube.com/watch?v=RHFV0XcJxww
wco_jQZYzyE,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: What is a second wave? And when will we see it? - BBC News,BBC News,News & Politics,none,63853,531,0,365,2020-06-25T10:08:57Z,"bbc,bbc news,news",PT7M52S,hd,false,https://i.ytimg.com/vi/wco_jQZYzyE/default.jpg,https://www.youtube.com/watch?v=wco_jQZYzyE
JtxsuIW7nrY,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: India's Covid-19 cases surge past one million - BBC News,BBC News,News & Politics,none,182153,1175,0,795,2020-07-17T12:30:44Z,"bbc,bbc news,news",PT6M49S,hd,false,https://i.ytimg.com/vi/JtxsuIW7nrY/default.jpg,https://www.youtube.com/watch?v=JtxsuIW7nrY
QD8kCYOBG00,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: Six months that changed our world - BBC News,BBC News,News & Politics,none,32594,361,0,146,2020-07-01T15:58:29Z,"bbc,bbc news,news,coronavirus,covid-19,world news,pandemic,health,lockdown",PT4M,hd,false,https://i.ytimg.com/vi/QD8kCYOBG00/default.jpg,https://www.youtube.com/watch?v=QD8kCYOBG00
0NTsBJLU1nk,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: The lost six weeks when US failed to contain outbreak - BBC News,BBC News,News & Politics,none,264465,3695,0,1591,2020-05-12T15:09:19Z,"bbc,bbc news,news,covid,covid-19,coronavirus,corona virus,trump,United States",PT7M41S,hd,true,https://i.ytimg.com/vi/0NTsBJLU1nk/default.jpg,https://www.youtube.com/watch?v=0NTsBJLU1nk
